brand,market,currency,n_numeric,minimum,lower_quartile_p25,median_p50,upper_quartile_p75,maximum,range_multiple_max_over_min
CHANEL,FR,EUR,17,4850,5800,6500,10100,12250,2.53
CHANEL,US,USD,18,5400,6350,7100,11225,13500,2.50
Hermès,FR,EUR,20,2170,4125,5500,6137.50,9100,4.19
Hermès,US,USD,20,3075,4700,5500,7050,13200,4.29
Louis Vuitton,FR,EUR,20,1800,2350,2800,3275,3800,2.11
Louis Vuitton,US,USD,20,1950,2225,2480,2852.50,4150,2.13
Dior,FR,EUR,19,3000,3200,3450,3650,4500,1.50
Dior,US,USD,13,3600,3900,4000,4400,5200,1.44
