brand,event_rows_in_file,positive_increase_rows,zero_change_intervals,conflict_derived_rows,current_anchor_transition_rows,lineages_with_positive_events,lineages_with_any_event,positive_event_lineage_coverage,top_lineage_share_of_positive_events,median_single_event_pct_all_positive,median_single_event_pct_excluding_current_and_conflict,min_single_event_pct_all_positive,max_single_event_pct_all_positive,p25_single_event_pct_all_positive,p75_single_event_pct_all_positive,median_observation_interval_years,event_observation_years,event_lineage_counts,event_strength_mix,interpretation_boundary
Chanel,9,9,0,0,0,4,4,100.0,33.3,7.90,7.90,5.32,23.88,6.19,8.43,1.00,2022;2023;2024,CH-C01:2;CH-C02:2;CH-C03:3;CH-C04:2,MEDIUM:9,Observed event frequency only; missing years do not imply no price change.
Hermès,4,4,0,1,0,2,2,100.0,75.0,8.75,8.40,6.59,21.98,7.95,12.31,1.00,2023;2024,HM-H01:3;HM-H02:1,MEDIUM:4,Observed event frequency only; missing years do not imply no price change.
Louis Vuitton,15,12,3,0,0,4,4,100.0,41.7,10.51,10.51,3.41,31.82,4.56,19.64,1.00,2022;2023;2024,LV-L01:4;LV-L02:1;LV-L03:5;LV-L04:2,MEDIUM:15,Observed event frequency only; missing years do not imply no price change.
Dior,7,7,0,0,3,3,3,100.0,57.1,15.52,6.08,2.99,35.19,6.08,22.50,2.62,2020;2023;2026,DI-D01:1;DI-D02:2;DI-D03:4,MEDIUM:7,Observed event frequency only; missing years do not imply no price change.
