fiscal_year,group_revenue_eur_m,fashion_leather_goods_revenue_eur_m,fashion_leather_goods_share_pct,fashion_leather_goods_reported_growth_pct,fashion_leather_goods_organic_growth_pct,fashion_leather_goods_recurring_operating_profit_eur_m,fashion_leather_goods_recurring_operating_margin_pct,source_ids
2020,44651.0,21207.0,47.5,-5.0,-3.0,7188.0,33.9,LVMH-FY20
2021,64215.0,30896.0,48.1,46.0,47.0,12842.0,41.6,LVMH-FY21
2022,79184.0,38648.0,48.8,25.0,20.0,15709.0,40.6,LVMH-FY22
2023,86153.0,42169.0,48.9,9.0,14.0,16836.0,39.9,LVMH-FY23
2024,84683.0,41060.0,48.5,-3.0,-1.0,15230.0,37.1,LVMH-FY24
2025,80807.0,37770.0,46.7,-8.0,-5.0,13209.0,35.0,LVMH-FY25
