brand,product_name,product_family,sku_or_reference,category,subcategory,material,color,dimensions,market,country,currency,price,availability,source_url,observed_at,extraction_method
CHANEL,Classic 11.12 Handbag,Classic 11.12,A01112-B24048-94305,Handbags,Classic handbags,"Lambskin, Enamel, Strass, Silver-Tone & Gold-Tone Metal",Black,6.1 x 10 x 2.6 in,United States,United States,USD,13500,contact_us,https://www.chanel.com/us/fashion/p/A01112B2404894305/classic-11-12-handbag-lambskin-enamel-strass-silver-tone-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Sac classique 11.12,Classic 11.12,A01112-B24526-UA091,Handbags,Classic handbags,"Jersey brodé, broderies fleurs & métal doré","Écru, jaune, noir & rouge",15.5 x 25.5 x 6.5 cm,France,France,,,contact_us,https://www.chanel.com/fr/mode/p/A01112B24526UA091/sac-classique-11-12-jersey-brode-broderies-fleurs-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Classic 11.12 Handbag,Classic 11.12,A01112-B24526-UA091,Handbags,Classic handbags,"Embroidered Jersey, Flowers Embroideries & Gold-Tone Metal","Ecru, Yellow, Black & Red",6.1 x 10 x 2.6 in,United States,United States,,,contact_us,https://www.chanel.com/us/fashion/p/A01112B24526UA091/classic-11-12-handbag-embroidered-jersey-flowers-embroideries-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini sac classique,Mini Classic,A35200-Y04059-94305,Handbags,Classic handbags,Agneau & métal doré,Noir,13.5 x 17 x 8 cm,France,France,EUR,4850,contact_us,https://www.chanel.com/fr/mode/p/A35200Y0405994305/mini-sac-classique-agneau-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini Classic Handbag,Mini Classic,A35200-Y04059-94305,Handbags,Classic handbags,Lambskin & Gold-Tone Metal,Black,5.3 x 6.7 x 3.1 in,United States,United States,USD,5400,contact_us,https://www.chanel.com/us/fashion/p/A35200Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini sac classique,Mini Classic,A69900-Y04059-94305,Handbags,Classic handbags,Agneau & métal doré,Noir,12 x 20 x 6 cm,France,France,EUR,5050,contact_us,https://www.chanel.com/fr/mode/p/A69900Y0405994305/mini-sac-classique-agneau-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini Classic Handbag,Mini Classic,A69900-Y04059-94305,Handbags,Classic handbags,Lambskin & Gold-Tone Metal,Black,4.7 x 7.9 x 2.4 in,United States,United States,USD,5600,contact_us,https://www.chanel.com/us/fashion/p/A69900Y0405994305/mini-classic-handbag-lambskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Petit sac classique,Small Classic,A01113-Y01864-C3906,Handbags,Classic handbags,Veau grainé & métal doré,Noir & bordeaux,14.5 x 23 x 6 cm,France,France,EUR,10100,contact_us,https://www.chanel.com/fr/mode/p/A01113Y01864C3906/petit-sac-classique-veau-graine-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Small Classic Handbag,Small Classic,A01113-Y01864-C3906,Handbags,Classic handbags,Grained Calfskin & Gold-Tone Metal,Black & Burgundy,5.7 x 9.1 x 2.4 in,United States,United States,USD,11300,contact_us,https://www.chanel.com/us/fashion/p/A01113Y01864C3906/small-classic-handbag-grained-calfskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Petit cabas,Shopping Bag,AS6495-B25347-UA954,Handbags,Shopping & bowling bags,Agneau & métal doré,Rose clair,25 x 30 x 12 cm,France,France,EUR,5800,contact_us,https://www.chanel.com/fr/mode/p/AS6495B25347UA954/petit-cabas-agneau-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
